,0
0,Florida
1,Illinois
2,Kansas
3,Kentucky
4,Louisiana
5,Maine
6,Maryland
7,Massachusetts
8,Michigan
9,Minnesota
10,Mississippi
11,Missouri
12,Montana
13,Nebraska
14,Nevada
15,New Hampshire
16,New Mexico
17,North Carolina
18,North Dakota
19,Oklahoma
20,Oregon
21,Pennsylvania
22,Rhode Island
23,South Carolina
24,South Dakota
25,Tennessee
26,Texas
27,Utah
28,Vermont
29,Virginia
30,Washington
31,West Virginia
32,Wisconsin
33,Wyoming
